turn,ts_ms,heapUsed,heapTotal,rss,external,arrayBuffers,mutableMessagesCount,mutableMessagesApproxBytes,contentReplacementSeenIds,contentReplacementReplacements,perKeyClippedIdsEntries,perKeyClippedIdsTotalIds,event
283,420.7,1213789,8072192,268648448,96980341,0,332,33312061,166,0,0,0,
284,421.9,1213789,8104960,269172736,96980341,0,336,33865359,168,0,0,0,
285,422.9,1213789,8170496,269828096,96980341,0,340,34276357,170,0,0,0,
286,423.4,1213789,8449024,269828096,96980341,0,344,34545004,172,0,0,0,
287,424.0,1213789,9169920,269828096,96980341,0,348,34877124,174,0,0,0,
288,424.8,1213789,10103808,269828096,96980341,0,352,35272751,176,0,0,0,
289,425.6,1213789,11086848,269828096,96980341,0,356,35731885,178,0,0,0,
290,431.0,1213789,8104960,270614528,102799778,0,360,36254504,180,0,0,0,
291,433.1,1213789,8219648,271138816,102799778,0,364,36840657,182,0,0,0,
292,433.5,1213789,8236032,271138816,102799778,0,368,37078572,184,0,0,0,
293,434.1,1213789,8268800,271138816,102799778,0,372,37380004,186,0,0,0,
294,434.8,1213789,8301568,271269888,102799778,0,376,37744892,188,0,0,0,
295,435.6,1213789,8367104,271269888,102799778,0,380,38173248,190,0,0,0,
296,436.6,1213789,8416256,271794176,102799778,0,384,38665126,192,0,0,0,
297,437.9,1213789,9579520,272318464,102799778,0,388,39220467,194,0,0,0,
298,438.7,1213789,10431488,272318464,102799778,0,392,39633502,196,0,0,0,
299,439.2,1213789,11103232,272318464,102799778,0,396,39904178,198,0,0,0,
300,452.5,1213789,7597056,290013184,55386699,0,400,736423,200,196,1,196,compact
301,453.2,1213789,7711744,290013184,55386699,0,404,1134131,202,196,1,196,
302,454.1,1213789,7728128,290013184,55386699,0,408,1595279,204,196,1,196,
303,455.2,1213789,7760896,290013184,55386699,0,412,2119881,206,196,1,196,
304,456.2,1213789,7793664,290013184,55386699,0,416,2707980,208,196,1,196,
305,456.6,1213789,7859200,290013184,55386699,0,420,2948008,210,196,1,196,
306,457.2,1213789,8449024,290013184,55386699,0,424,3251433,212,196,1,196,
307,457.9,1213789,9169920,290013184,55386699,0,428,3618345,214,196,1,196,
308,458.7,1213789,10103808,290013184,55386699,0,432,4048814,216,196,1,196,
309,459.7,1213789,11332608,290013184,55386699,0,436,4542759,218,196,1,196,
310,465.0,1213789,7777280,280289280,60963043,0,440,5100203,220,196,1,196,
311,466.5,1213789,7891968,266301440,60963043,0,444,5515271,222,196,1,196,
312,467.4,1213789,7908352,266432512,60963043,0,448,5788039,224,196,1,196,
313,468.1,1213789,7941120,266563584,60963043,0,452,6124321,226,196,1,196,
314,468.9,1213789,7973888,266694656,60963043,0,456,6524065,228,196,1,196,
315,469.9,1213789,8039424,266694656,60963043,0,460,6987271,230,196,1,196,
316,470.9,1213789,8186880,266956800,60963043,0,464,7513962,232,196,1,196,
317,472.5,1213789,9432064,268267520,60963043,0,468,8104177,234,196,1,196,
318,473.2,1213789,10021888,268791808,60963043,0,472,8346203,236,196,1,196,
319,474.0,1213789,10710016,269578240,60963043,0,476,8651755,238,196,1,196,
320,478.6,1213789,7908352,270495744,66149877,0,480,9020753,240,196,1,196,
321,479.6,1213789,8039424,270495744,66149877,0,484,9453235,242,196,1,196,
322,480.4,1213789,8055808,270495744,66149877,0,488,9949253,244,196,1,196,
